,taxonomy,category,label
427,general,tone,funky
428,general,tone,futuristic
429,general,tone,fuzz
430,general,tone,gliss
431,general,tone,gritty
432,general,tone,growl
433,general,tone,hightech
434,general,tone,hypnotic
435,general,tone,impacts
436,general,tone,industrial
437,general,tone,jangly
438,general,tone,jungle
439,general,tone,legato
440,general,tone,live
441,general,tone,lo_fi
442,general,tone,low
443,general,tone,lush
444,general,tone,luxury
445,general,tone,machine
446,general,tone,major
447,general,tone,melodic
448,general,tone,menly
449,general,tone,minor
450,general,tone,modern
451,general,tone,nuanced
452,general,tone,open
453,general,tone,organic
454,general,tone,panning
455,general,tone,percussive
456,general,tone,plucky
457,general,tone,pounding
458,general,tone,promotional
459,general,tone,psychedelic
460,general,tone,punchy
461,general,tone,raging
462,general,tone,raucous
463,general,tone,raw
464,general,tone,repeating
465,general,tone,retro
466,general,tone,reverb
467,general,tone,reverse
468,general,tone,robotic
469,general,tone,rough
470,general,tone,round
471,general,tone,royal
472,general,tone,"rumble,_rumbling"
473,general,tone,scorching
474,general,tone,searing
475,general,tone,sharp
476,general,tone,shattering
477,general,tone,shimmering
478,general,tone,shutter
479,general,tone,simple
480,general,tone,sinking
481,general,tone,skank
482,general,tone,slam
483,general,tone,slap
484,general,tone,slapstick
485,general,tone,slash
486,general,tone,slick
487,general,tone,smashes
488,general,tone,smooth
489,general,tone,solid
490,general,tone,sparkling
491,general,tone,spirit
492,general,tone,staccato
493,general,tone,stark
494,general,tone,steel
495,general,tone,stings
496,general,tone,strumming
497,general,tone,stylized
498,general,tone,sub
499,general,tone,subtle
500,general,tone,sudden
501,general,tone,sweeping
502,general,tone,swirling
503,general,tone,symphonic
504,general,tone,thick
505,general,tone,throbbing
506,general,tone,thud
507,general,tone,tremolo
508,general,tone,trendy
509,general,tone,twang
510,general,tone,twinkling
511,general,tone,undulating
512,general,tone,unique
513,general,tone,vibrating
514,general,tone,vice
515,general,tone,vintage
516,general,tone,warm
517,general,tone,washy
518,general,tone,whoosh
519,general,tone,wide
520,general,tone,wobble
521,general,form,anthemic
522,general,form,ballad
523,general,form,baroque
524,general,form,bed
525,general,form,big_end
526,general,form,bombastic
527,general,form,breakdown
528,general,form,bumper
529,general,form,drone
530,general,form,fanfare
531,general,form,harmonic
532,general,form,hymn
533,general,form,improvisational
534,general,form,intro
535,general,form,jam
536,general,form,jingle
537,general,form,loop
538,general,form,march
539,general,form,modulating
540,general,form,octane
541,general,form,opening
542,general,form,remix
543,general,form,repetitive
544,general,form,sample
545,general,form,shift
546,general,form,shuffle
547,general,form,solo
548,general,form,soundscape
549,general,form,sting
550,general,form,tag
551,general,form,textures
552,general,form,theme
553,general,form,trailer
554,general,form,transition
555,general,form,underscore
556,general,form,waltz
557,general,shape,arpeggios
558,general,shape,big
559,general,shape,bold
560,general,shape,building
561,general,shape,climax
562,general,shape,crescendo
563,general,shape,dynamic
564,general,shape,energy
565,general,shape,enormous
566,general,shape,euphoric
567,general,shape,gigantic
568,general,shape,heavy
569,general,shape,huge
570,general,shape,immense
571,general,shape,large
572,general,shape,light
573,general,shape,little
574,general,shape,loud
575,general,shape,massive
576,general,shape,minimal
577,general,shape,panoramic
578,general,shape,small
579,general,shape,soft
580,general,shape,sparse
581,general,shape,swelling
582,general,rhythm,3/4
583,general,rhythm,6/8
584,general,rhythm,accelerando
585,general,rhythm,accelerate
586,general,rhythm,accent
587,general,rhythm,atmosphere
588,general,rhythm,beat
589,general,rhythm,bounce
590,general,rhythm,bouncy
591,general,rhythm,break_beat
592,general,rhythm,breaks
593,general,rhythm,decelerate
594,general,rhythm,downtempo
595,general,rhythm,driving
596,general,rhythm,fast
597,general,rhythm,four_on_the_floor
598,general,rhythm,free_time
599,general,rhythm,frenetic
600,general,rhythm,galloping
601,general,rhythm,groove
602,general,rhythm,half_time
603,general,rhythm,hit
604,general,rhythm,jarring
605,general,rhythm,moving
606,general,rhythm,pulsating
607,general,rhythm,pulse
608,general,rhythm,pulsing
609,general,rhythm,pumping
610,general,rhythm,pushing
611,general,rhythm,quick
612,general,rhythm,rhythmic
613,general,rhythm,sequence
614,general,rhythm,slow
615,general,rhythm,slow_down
616,general,rhythm,speed_up
617,general,rhythm,stabs
618,general,rhythm,steady
619,general,rhythm,stomp_clap
620,general,rhythm,stops
621,general,rhythm,stutter
622,general,rhythm,train_beat
623,general,rhythm,triplet
624,general,rhythm,uptempo
625,general,situation,action
626,general,situation,adolescent
627,general,situation,adventure
628,general,situation,ancient
629,general,situation,animation
630,general,situation,archive
631,general,situation,army
632,general,situation,awards_show
633,general,situation,ball
634,general,situation,ballet
635,general,situation,bar
636,general,situation,battle
637,general,situation,beach
638,general,situation,bollywood
639,general,situation,breakup
640,general,situation,cafe
641,general,situation,california
642,general,situation,caper
643,general,situation,casino
644,general,situation,catwalk
645,general,situation,celebration
646,general,situation,chase
647,general,situation,children
648,general,situation,christmas
649,general,situation,church
650,general,situation,circus
651,general,situation,city
652,general,situation,civil_war
653,general,situation,comedy
654,general,situation,commercial
655,general,situation,concentration
656,general,situation,corporate
657,general,situation,courtroom
658,general,situation,cowboy
659,general,situation,crime
660,general,situation,dancefloor
661,general,situation,day_break
662,general,situation,detective
663,general,situation,diva
664,general,situation,documentary
665,general,situation,drama
666,general,situation,dramedy
667,general,situation,elevator
668,general,situation,escape
669,general,situation,espionage
670,general,situation,eventy
671,general,situation,exploration
672,general,situation,extreme_sports
673,general,situation,fairy_tale
674,general,situation,family
675,general,situation,fantasy
676,general,situation,fashion
677,general,situation,football
678,general,situation,friends
679,general,situation,funeral
680,general,situation,game_show
681,general,situation,gangsta
682,general,situation,gangster
683,general,situation,ghetto
684,general,situation,glamour
685,general,situation,halloween
686,general,situation,heist
687,general,situation,historical
688,general,situation,holiday
689,general,situation,hollywood
690,general,situation,home
691,general,situation,horror
692,general,situation,innovation
693,general,situation,investigation
694,general,situation,island
695,general,situation,jetset
696,general,situation,kids
697,general,situation,lab
698,general,situation,landscape
699,general,situation,las_vegas
700,general,situation,law
701,general,situation,leisure
702,general,situation,lifestyle
703,general,situation,marriage
704,general,situation,medical
705,general,situation,medieval
706,general,situation,midnight
707,general,situation,military
708,general,situation,mission
709,general,situation,mourn
710,general,situation,movie
711,general,situation,nature
712,general,situation,nerdy
713,general,situation,news
714,general,situation,noir
715,general,situation,olympics
716,general,situation,outlaw
717,general,situation,pastoral
718,general,situation,pirate
719,general,situation,pool
720,general,situation,porno
721,general,situation,problem
722,general,situation,psycho
723,general,situation,pursuit
724,general,situation,quest
725,general,situation,quiz
726,general,situation,racing
727,general,situation,radio
728,general,situation,reality
729,general,situation,red_carpet
730,general,situation,reveal
731,general,situation,romance
732,general,situation,safari
733,general,situation,sci_fi
734,general,situation,science
735,general,situation,secret
736,general,situation,show
737,general,situation,skater
738,general,situation,slow_motion
739,general,situation,snare_drums
740,general,situation,soccer
741,general,situation,sports
742,general,situation,spy
743,general,situation,street
744,general,situation,summer
745,general,situation,sunset
746,general,situation,superhero
747,general,situation,suspense
748,general,situation,technology
749,general,situation,teen
750,general,situation,thriller
751,general,situation,time
752,general,situation,travel
753,general,situation,travelogue
754,general,situation,tv
755,general,situation,vacation
756,general,situation,valentine
757,general,situation,video_game
758,general,situation,war
759,general,situation,wedding
760,general,situation,yoga
761,general,decade,20s
762,general,decade,30s
763,general,decade,40s
764,general,decade,50s
765,general,decade,60s
766,general,decade,70s
767,general,decade,80s
768,general,decade,90s
769,general,decade,2000s
770,general,culture,africa
771,general,culture,argentina
772,general,culture,asia
773,general,culture,australia
774,general,culture,austria
775,general,culture,bali
776,general,culture,balkans
777,general,culture,benelux
778,general,culture,brazil
779,general,culture,canada
780,general,culture,carribean
781,general,culture,central_america
782,general,culture,china
783,general,culture,cuba
784,general,culture,eastern_europe
785,general,culture,egypt
786,general,culture,england
787,general,culture,far_east
788,general,culture,france
789,general,culture,germany
790,general,culture,greece
791,general,culture,hawaii
792,general,culture,iceland
793,general,culture,india
794,general,culture,indonesia
795,general,culture,ireland
796,general,culture,israel
797,general,culture,italy
798,general,culture,jamaica
799,general,culture,japan
800,general,culture,mexico
801,general,culture,middle_east
802,general,culture,north_africa
803,general,culture,oriental
804,general,culture,pacific_islands
805,general,culture,portugal
806,general,culture,russia
807,general,culture,scandinavia
808,general,culture,scotland
809,general,culture,south_africa
810,general,culture,south_america
811,general,culture,south_east_asia
812,general,culture,spain
813,general,culture,switzerland
814,general,culture,thailand
815,general,culture,turkey
816,general,culture,united_states
817,general,instrumentation,accordion
818,general,instrumentation,anvils
819,general,instrumentation,banjo
820,general,instrumentation,bass
821,general,instrumentation,bells
822,general,instrumentation,bongos
823,general,instrumentation,brass
824,general,instrumentation,brushes
825,general,instrumentation,cello
826,general,instrumentation,chime
827,general,instrumentation,chimes
828,general,instrumentation,claps
829,general,instrumentation,clave
830,general,instrumentation,clocks
831,general,instrumentation,conga
832,general,instrumentation,cowbell
833,general,instrumentation,cymbals
834,general,instrumentation,dj
835,general,instrumentation,dobro
836,general,instrumentation,double_bass
837,general,instrumentation,drill
838,general,instrumentation,drum_kit
839,general,instrumentation,drum_machine
840,general,instrumentation,drums
841,general,instrumentation,duduk
842,general,instrumentation,dulcimer
843,general,instrumentation,feedback
844,general,instrumentation,fiddle
845,general,instrumentation,flageolet
846,general,instrumentation,flute
847,general,instrumentation,fretless_bass
848,general,instrumentation,fx
849,general,instrumentation,gamelan
850,general,instrumentation,glitch
851,general,instrumentation,glockenspiel
852,general,instrumentation,gong
853,general,instrumentation,guitar_acoustic
854,general,instrumentation,guitar_electric
855,general,instrumentation,hang_drum
856,general,instrumentation,harmonica
857,general,instrumentation,harp
858,general,instrumentation,harpsichord
859,general,instrumentation,heartbeat
860,general,instrumentation,horns
861,general,instrumentation,kalimba
862,general,instrumentation,kazoo
863,general,instrumentation,keyboard
864,general,instrumentation,loops
865,general,instrumentation,mallets
866,general,instrumentation,mandolin
867,general,instrumentation,marimba
868,general,instrumentation,music_box
869,general,instrumentation,oboe
870,general,instrumentation,organ
871,general,instrumentation,pad
872,general,instrumentation,pedal_steel
873,general,instrumentation,percussion
874,general,instrumentation,piano
875,general,instrumentation,piccolo
876,general,instrumentation,pizzicato
877,general,instrumentation,quartet
878,general,instrumentation,rhodes
879,general,instrumentation,saxophone
880,general,instrumentation,scratching
881,general,instrumentation,shaker
882,general,instrumentation,sleigh_bells
883,general,instrumentation,slide_guitar
884,general,instrumentation,snaps
885,general,instrumentation,snare
886,general,instrumentation,stomp
887,general,instrumentation,strings
888,general,instrumentation,synthesizer
889,general,instrumentation,talk_box
890,general,instrumentation,tambourine
891,general,instrumentation,theremin
892,general,instrumentation,timpani
893,general,instrumentation,toms
894,general,instrumentation,triangle
895,general,instrumentation,trombone
896,general,instrumentation,trumpet
